Chain	ctx11	ctx12	ctx13	ctx21	ctx22	ctx23	STD	TC	ASYNC
t23	2	6	3	4	5	1	0	51	51
t13	2	6	3	4	5	1	0	75	75
t23	2	6	3	5	1	4	0	51	51
t13	2	6	3	5	1	4	0	75	75
t23	2	6	3	5	4	1	0	51	51
t13	2	6	3	5	4	1	0	75	75
t23	2	6	4	1	3	5	0	51	51
t13	2	6	4	1	3	5	0	75	75
t23	2	6	4	1	5	3	0	51	51
t13	2	6	4	1	5	3	0	75	75
t23	2	6	4	3	1	5	0	51	51
t13	2	6	4	3	1	5	0	75	75
t23	2	6	4	3	5	1	0	51	51
t13	2	6	4	3	5	1	0	75	75
t23	2	6	4	5	1	3	0	51	51
t13	2	6	4	5	1	3	0	75	75
t23	2	6	4	5	3	1	0	51	51
t13	2	6	4	5	3	1	0	75	75
t23	2	6	5	1	3	4	0	47	47
t13	2	6	5	1	3	4	0	75	75
t23	2	6	5	1	4	3	0	47	47
t13	2	6	5	1	4	3	0	75	75
t23	2	6	5	3	1	4	0	47	47
t13	2	6	5	3	1	4	0	75	75
t23	2	6	5	3	4	1	0	47	47
t13	2	6	5	3	4	1	0	75	75
t23	2	6	5	4	1	3	0	47	47
t13	2	6	5	4	1	3	0	75	75
t23	2	6	5	4	3	1	0	47	47
t13	2	6	5	4	3	1	0	75	75
t23	3	1	2	4	5	6	862	173	173
t13	3	1	2	4	5	6	44	28	28
t23	3	1	2	4	6	5	879	173	173
t13	3	1	2	4	6	5	44	28	28
t23	3	1	2	5	4	6	3473	173	173
t13	3	1	2	5	4	6	44	28	28
t23	3	1	2	5	6	4	2167	173	173
t13	3	1	2	5	6	4	44	28	28
t23	3	1	2	6	4	5	0	173	173
t13	3	1	2	6	4	5	0	28	28
t23	3	1	2	6	5	4	0	173	173
t13	3	1	2	6	5	4	0	28	28
t23	3	1	4	2	5	6	448	173	173
t13	3	1	4	2	5	6	67	31	31
t23	3	1	4	2	6	5	481	173	173
t13	3	1	4	2	6	5	67	31	31
t23	3	1	4	5	2	6	0	173	173
t13	3	1	4	5	2	6	0	28	49
t23	3	1	4	5	6	2	0	173	173
t13	3	1	4	5	6	2	0	28	34
t23	3	1	4	6	2	5	0	173	173
t13	3	1	4	6	2	5	0	28	49
t23	3	1	4	6	5	2	0	173	173
t13	3	1	4	6	5	2	0	28	34
t23	3	1	5	2	4	6	312	173	173
t13	3	1	5	2	4	6	88	53	53
t23	3	1	5	2	6	4	362	173	173
t13	3	1	5	2	6	4	130	48	48
t23	3	1	5	4	2	6	453	173	173
t13	3	1	5	4	2	6	127	53	53
t23	3	1	5	4	6	2	1011	173	173
t13	3	1	5	4	6	2	331	48	48
t23	3	1	5	6	2	4	0	173	173
t13	3	1	5	6	2	4	0	28	55
t23	3	1	5	6	4	2	0	173	173
t13	3	1	5	6	4	2	0	28	55
t23	3	1	6	2	4	5	112	53	53
t13	3	1	6	2	4	5	133	75	75
t23	3	1	6	2	5	4	113	53	53
t13	3	1	6	2	5	4	150	75	75
t23	3	1	6	4	2	5	153	53	53
t13	3	1	6	4	2	5	183	75	75
t23	3	1	6	4	5	2	139	53	53
t13	3	1	6	4	5	2	192	75	75
t23	3	1	6	5	2	4	203	53	53
t13	3	1	6	5	2	4	229	75	75
t23	3	1	6	5	4	2	276	53	53
t13	3	1	6	5	4	2	265	75	75
t23	3	2	1	4	5	6	1007	173	173
t13	3	2	1	4	5	6	69	28	28
t23	3	2	1	4	6	5	1017	173	173
t13	3	2	1	4	6	5	69	28	28
t23	3	2	1	5	4	6	4394	173	173
t13	3	2	1	5	4	6	69	28	28
t23	3	2	1	5	6	4	2689	173	173
t13	3	2	1	5	6	4	69	28	28
t23	3	2	1	6	4	5	0	173	173
t13	3	2	1	6	4	5	0	28	28
t23	3	2	1	6	5	4	0	173	173
t13	3	2	1	6	5	4	0	28	28
t23	3	2	4	1	5	6	440	173	173
t13	3	2	4	1	5	6	70	31	31
t23	3	2	4	1	6	5	477	173	173
t13	3	2	4	1	6	5	70	31	31
t23	3	2	4	5	1	6	0	173	173
t13	3	2	4	5	1	6	0	28	49
t23	3	2	4	5	6	1	0	173	173
t13	3	2	4	5	6	1	0	28	34
t23	3	2	4	6	1	5	0	173	173
t13	3	2	4	6	1	5	0	28	49
t23	3	2	4	6	5	1	0	173	173
t13	3	2	4	6	5	1	0	28	34
t23	3	2	5	1	4	6	293	173	173
t13	3	2	5	1	4	6	91	53	53
t23	3	2	5	1	6	4	358	173	173
t13	3	2	5	1	6	4	136	48	48
t23	3	2	5	4	1	6	447	173	173
t13	3	2	5	4	1	6	143	53	53
t23	3	2	5	4	6	1	1383	173	173
t13	3	2	5	4	6	1	519	48	48
t23	3	2	5	6	1	4	0	173	173
t13	3	2	5	6	1	4	0	28	55
t23	3	2	5	6	4	1	0	173	173
t13	3	2	5	6	4	1	0	28	55
t23	3	2	6	1	4	5	108	53	53
t13	3	2	6	1	4	5	139	75	75
t23	3	2	6	1	5	4	109	53	53
t13	3	2	6	1	5	4	156	75	75
t23	3	2	6	4	1	5	147	53	53
t13	3	2	6	4	1	5	201	75	75
t23	3	2	6	4	5	1	133	53	53
t13	3	2	6	4	5	1	212	75	75
t23	3	2	6	5	1	4	195	53	53
t13	3	2	6	5	1	4	265	75	75
t23	3	2	6	5	4	1	270	53	53
t13	3	2	6	5	4	1	295	75	75
t23	3	4	1	2	5	6	0	173	173
t13	3	4	1	2	5	6	0	31	31
t23	3	4	1	2	6	5	0	173	173
t13	3	4	1	2	6	5	0	31	31
t23	3	4	1	5	2	6	0	173	173
t13	3	4	1	5	2	6	0	28	49
t23	3	4	1	5	6	2	0	173	173
t13	3	4	1	5	6	2	0	28	34
t23	3	4	1	6	2	5	0	173	173
t13	3	4	1	6	2	5	0	28	49
t23	3	4	1	6	5	2	0	173	173
t13	3	4	1	6	5	2	0	28	34
t23	3	4	2	1	5	6	0	173	173
t13	3	4	2	1	5	6	0	31	31
t23	3	4	2	1	6	5	0	173	173
t13	3	4	2	1	6	5	0	31	31
t23	3	4	2	5	1	6	0	173	173
t13	3	4	2	5	1	6	0	28	49
t23	3	4	2	5	6	1	0	173	173
t13	3	4	2	5	6	1	0	28	34
t23	3	4	2	6	1	5	0	173	173
t13	3	4	2	6	1	5	0	28	49
t23	3	4	2	6	5	1	0	173	173
t13	3	4	2	6	5	1	0	28	34
t23	3	4	5	1	2	6	386	173	173
t13	3	4	5	1	2	6	159	53	53
t23	3	4	5	1	6	2	912	173	173
t13	3	4	5	1	6	2	534	48	48
t23	3	4	5	2	1	6	392	173	173
t13	3	4	5	2	1	6	175	53	53
t23	3	4	5	2	6	1	1190	173	173
t13	3	4	5	2	6	1	619	48	48
t23	3	4	5	6	1	2	0	173	173
t13	3	4	5	6	1	2	0	28	55
t23	3	4	5	6	2	1	0	173	173
t13	3	4	5	6	2	1	0	28	55
t23	3	4	6	1	2	5	82	53	53
t13	3	4	6	1	2	5	209	75	75
t23	3	4	6	1	5	2	83	53	53
t13	3	4	6	1	5	2	209	75	75
t23	3	4	6	2	1	5	88	53	53
t13	3	4	6	2	1	5	214	75	75
t23	3	4	6	2	5	1	85	53	53
t13	3	4	6	2	5	1	211	75	75
t23	3	4	6	5	1	2	131	53	53
t13	3	4	6	5	1	2	351	75	75
t23	3	4	6	5	2	1	166	53	53
t13	3	4	6	5	2	1	432	75	75
t23	3	5	1	2	4	6	0	173	173
t13	3	5	1	2	4	6	0	53	53
t23	3	5	1	2	6	4	0	173	173
t13	3	5	1	2	6	4	0	48	48
t23	3	5	1	4	2	6	0	173	173
t13	3	5	1	4	2	6	0	53	53
t23	3	5	1	4	6	2	0	173	173
t13	3	5	1	4	6	2	0	48	48
t23	3	5	1	6	2	4	0	173	173
t13	3	5	1	6	2	4	0	28	55
t23	3	5	1	6	4	2	0	173	173
t13	3	5	1	6	4	2	0	28	55
t23	3	5	2	1	4	6	0	173	173
t13	3	5	2	1	4	6	0	53	53
t23	3	5	2	1	6	4	0	173	173
t13	3	5	2	1	6	4	0	48	48
t23	3	5	2	4	1	6	0	173	173
t13	3	5	2	4	1	6	0	53	53
t23	3	5	2	4	6	1	0	173	173
t13	3	5	2	4	6	1	0	48	48
t23	3	5	2	6	1	4	0	173	173
t13	3	5	2	6	1	4	0	28	55
t23	3	5	2	6	4	1	0	173	173
t13	3	5	2	6	4	1	0	28	55
t23	3	5	4	1	2	6	0	173	173
